"uuid","Members","Answers","Fully specified name:fr","Fully specified name:en","Short name:fr","Short name:en","Units","Data class","Data type","_version:1","_order:1006"
"5e49d60f-2306-4bed-b87d-3767111396ba",,,"Rupture stock ARV (en pharmacie)","ARV stock outs (at the pharmacy)","Rupture stock ARV (en pharmacie)","ARV stock outs (at the pharmacy)",,"Misc","N/A",,
"c47829c9-aef0-4c43-a189-2f65cfed3f8e",,"Poor understanding of ART;Psycho Problem (denial, no disclosure);Social Problem;ARV stock outs (at the pharmacy)","Cause probable de non observance","Probable cause of non-compliance","Cause probable de non observance","Probable cause of non-compliance",,"Misc","Coded",,
"b26a4797-e441-4c92-8d32-2c9e0d7fa301",,,"Effets secondaires attribuables aux ARV/allergie","Side effects due to ARV/ allergy","Effets secondaires attribuables aux ARV/allergie","Side effects due to ARV/ allergy",,"Misc","Text",,
"a0284e6f-d34b-4a4a-9fa4-7416721e67bf",,,"Conclusion","Conclusion","Conclusion","Conclusion",,"Misc","Text",,
"cd0d1c27-f956-4a19-a09e-2989016c2ed5","Events since last consultation (Acute Pathology, Family Event);What does the child know about their disease?;Adherence;Probable cause of non-compliance;Side effects due to ARV/ allergy;Conclusion",,"5. Consultation suivi","5. Consultation follow up","5. Consultation suivi","5. Consultation follow up",,"Misc","N/A",,
"81b6f586-c6cb-4323-869d-933810f8277d","WHO Stage",,"6. Classification de l'OMS","6. WHO classification","6. Classification de l'OMS","6. WHO classification",,"Misc","N/A",,
"d5b6d715-624c-4204-a0a2-1f0ee64ba17c",,,"Initiation ART","Starting ART","Initiation ART","Starting ART",,"Misc","N/A",,
"1fd1718f-5545-43ff-ac25-cce18b1e1db9",,,"Changement TARV","Changing ART","Changement TARV","Changing ART",,"Misc","N/A",,
"3cf7578c-73a9-4f65-bb39-9ab3d1c22ac8",,,"Reprise TARV","Restarting ART","Reprise TARV","Restarting ART",,"Misc","N/A",,
"7c732627-bee3-46ef-a828-97c95323ee31",,,"Reconduction","Contintue ART","Reconduction","Contintue ART",,"Misc","N/A",,
"2f02df8b-3745-4864-8bf6-ccbf831c020c",,"Starting ART;Changing ART;Restarting ART;Contintue ART","Decision therapeutique","Possible therapeutic change","Decision therapeutique","Possible therapeutic change",,"Misc","Coded",,
"19584516-3c76-4169-b250-37cbe0c4e3df","Possible therapeutic change;ARV Protocol",,"7. Traitement","7. Treatment","7. Traitement","7. Treatment",,"Misc","N/A",,
"e3131002-af2e-4ce2-8821-122523f963dd","Referal to;Other Referral;Care Plan",,"8. Référence/plan de soins","8. Referrals/care plan","8. Référence/plan de soins","8. Referrals/care plan",,"Misc","N/A",,
"09345f0d-caad-437d-8cff-6c49ac08a3b6","Appointment date",,"9. Prachain rendez-vous","9. Next appointment","9. Prachain rendez-vous","9. Next appointment",,"Misc","N/A",,
"02979ae4-b423-4927-9846-29970da5187a",,,"Commentaires Agent de sante communautaire (ASC)","Comments of the community health agent","Commentaires Agent de sante communautaire (ASC)","Comments of the community health agent",,"Misc","Text",,
"f6121a49-f198-44a4-86a4-4be45fbd1d27",,,"Nom et visa du prestataire de soins","Name and visa of the care provider","Nom et visa du prestataire de soins","Name and visa of the care provider",,"Misc","Text",,
"9e38f9c3-1f04-4221-b5c9-51d5adbe1931","1. Infant parameters;2. TB contact;3. Review of systems;4. Systemic exam;5. Consultation follow up;6. WHO classification;7. Treatment;8. Referrals/care plan;9. Next appointment;Comments of the community health agent;Name and visa of the care provider",,"Fiche du patient avec VIH - enfant suivi","Patient with HIV - child follow up","Fiche du patient avec VIH - enfant suivi","Patient with HIV - child follow up",,"Misc","N/A",,
